Date,BEAI2,BRLI4,CMMI4,COPI2,DBQI4,FAII4,GGYM7,HAVI2,HNNM7,HNYI2,IL03,IL03_Tail,IL04,IL04_Tail,IL05,IL05_Tail,IL06,IL06_Tail,IL07,IL07_Tail,IL08,IL08_Tail,KHBI2,KNGI2,LSLI2,MI11,MI11_Tail,MI12,MI12_Tail,MI13,MI13_Tail,MI14,MI14_Tail,MI15,MI15_Tail,MI16,MI16_Tail,MI17,MI17_Tail,MI18,MI18_Tail,MI19,MI19_Tail,MI20,MI20_Tail,MI21,MI21_Tail,MI22,MI22_Tail,MORI2,MUSI4,PIAI2,UINI2,05552500,05527500,05585000,05446500,05583000,05570000,05555300
01Jan1999,429.59,520.15,572.54,430.97,593.9,545.49,480.14,430.28,459.68,440.64,538.74,504.61,504.92,484.34,483.41,458.79,458.79,441.16,440.25,431.4,429.25,420.5,531.1,431.18,441.26,603.06,593.53,592.16,585.45,583.02,573.52,571.8,561.48,560.92,547.81,545.23,538.06,535.98,532.73,528.08,521.1,518.34,481.38,479.62,471.62,470.19,461.89,459.65,451.02,484.15,537.87,440.15,470.21,468.4700002,512.40,437.13,571.64,457.25,473.02,524.12
02Jan1999,429.28,519.93,572.63,431.44,593.93,545.59,481.62,430.71,459.75,440.79,538.76,504.42,504.83,484.02,483.35,459,458.93,442.21,440.07,431.4,429,420.45,530.98,431.51,441.96,603.09,593.54,592.06,585.71,583.02,573.7,571.93,561.88,561.23,549.21,545.29,538.71,535.98,534.01,527.92,521.08,518.05,482.69,481.2,472.64,470.14,462.55,459.64,451.95,483.85,537.82,440.15,470.18,468.44,512.08,437.58,571.07,457.45,473.37,524.20
03Jan1999,429.64,520.09,572.67,432.19,593.98,545.66,480.14,431.24,459.81,440.91,538.58,504.54,504.7,484.18,483.33,458.9,458.82,442.32,440.2,431.3,429,420.2,530.92,432.44,442,603.11,593.63,592.07,585.84,583.05,573.82,571.76,562.38,561.22,550.26,545.37,538.97,536,534.36,528,521.26,518.3,481.51,479.64,472.91,469.94,462.89,459.63,452.32,484.01,538.28,440.15,469.98,468.15,511.91,437.71,570.86,457.50,473.71,524.23
04Jan1999,429.48,520.08,572.75,433.21,593.91,545.75,480.68,431.26,459.72,440.83,538.7,504.54,504.76,484.54,483.4,459.01,458.85,441.85,440,431.3,428.68,420.76,530.9,433.6,441.92,603.05,593.58,592.03,585.85,583,573.99,571.79,562.36,560.87,551.08,545.45,539.22,536.03,534.75,527.96,521.37,518.26,481.75,479.88,473.13,470,462.82,459.57,452.1,484.29,538.28,440.15,470.02,468.6399998,512.16,437.79,570.70,457.43,,524.32
05Jan1999,429.74,520.14,572.72,433.63,593.88,545.81,480.68,432.09,459.67,440.84,538.9,504.45,504.91,484.32,483.4,459.08,458.83,442.41,440.1,434.2,429,422.94,531.01,433.89,442.43,603.03,593.55,591.99,585.77,582.97,573.98,571.75,562,560.75,550.82,545.47,539.39,536.15,534.84,528.15,521.46,518.19,481.45,479.71,473.33,470.31,463.06,459.44,452.47,483.89,538.42,440.15,470.34,468.44,512.57,,570.59,457.34,,524.26
06Jan1999,429.94,520.41,572.64,433.79,593.86,545.43,479.54,432.64,459.92,440.99,538.83,505.23,504.7,484.49,483.35,459.13,458.89,442.59,440.1,434.05,429.1,423.15,531.12,433.99,442.54,603.04,593.53,591.97,585.72,582.94,573.86,571.72,561.9,560.9,550.42,545,539.14,535.99,534.77,528.08,521.69,518.29,481.01,478.76,473.51,470.1,463.49,459.59,452.82,484.36,538.32,440.92,470.15,468.48,512.65,437.73,570.95,457.22,473.93,524.29
07Jan1999,429.98,520.47,572.54,433.89,593.88,545.38,479.59,432.25,459.72,441.06,538.8,504.48,504.68,484.7,483.54,459.2,458.84,442.64,440.15,434.26,429.08,423.15,530.96,434.13,442.55,603.06,593.54,591.99,585.72,582.93,573.76,571.61,561.7,560.77,550.19,544.96,538.91,535.83,534.37,528.06,521.69,518.25,481.55,478.6,473.96,469.93,463.19,459.35,452.56,484.35,538.14,440.92,469.97,468.4900002,512.79,437.66,571.11,457.04,474.03,524.34
08Jan1999,430.13,520.4,572.59,434.36,593.97,545.34,479.77,433.81,459.83,441.04,538.78,504.57,505.05,484.34,483.4,459.06,458.84,442.76,440.25,434.6,429.11,423.14,531.02,434.52,442.41,603.13,593.6,592.02,585.74,582.92,573.77,571.78,562,561.24,549.64,544.92,538.67,535.76,534.01,527.98,521.58,518.21,481.64,478.84,473.85,469.91,463.18,459.52,452.47,484.17,537.97,440.92,469.95,468.5100002,512.80,437.62,570.97,456.94,474.02,524.27
09Jan1999,430.2,520.38,572.67,434.53,594.16,545.46,479.42,433.82,460.1,441.14,538.67,504.6,504.94,484.3,483.41,459.08,458.84,443.12,440.3,434.9,429.1,424,530.91,434.72,442.79,603.09,593.82,592.05,586.05,582.93,573.94,571.79,561.93,561.11,549.7,545.08,538.7,535.72,533.85,527.94,521.53,518.18,481.46,478.27,474.03,470.06,463.48,459.76,452.78,484.09,537.99,440.92,470.1,468.5300002,512.79,437.62,571.03,456.85,473.91,524.26
10Jan1999,430.24,520.42,572.83,434.6,594.17,545.63,478.88,433.82,460.02,441.16,538.67,504.6,504.85,484.53,483.48,459.15,458.88,443.19,440.2,435,429.1,424.05,531.04,434.78,442.76,603.09,593.84,592.06,586.13,583,574.11,571.88,561.92,561.07,549.55,545.14,538.77,535.79,533.81,527.95,521.54,518.24,481.22,477.7,473.8,469.93,463.27,459.69,452.77,484.26,538.06,440.92,469.95,468.5500001,512.82,437.57,571.01,456.82,473.81,524.28
11Jan1999,430.31,520.44,572.93,434.75,594.2,545.73,478.95,433.82,459.77,441.22,538.74,504.34,504.71,484.28,483.41,459.26,458.88,443.24,440.3,435,429.06,423.79,531.06,434.92,442.89,603.09,593.86,592.06,586.19,583.04,574.2,572.01,562.07,561.2,549.44,545.34,538.77,535.8,533.74,528.01,521.57,518.19,481.2,477.72,473.72,469.91,463.07,459.44,452.6,484.14,538.07,440.92,469.94,468.6199998,512.90,437.52,570.94,456.78,473.75,524.28
12Jan1999,430.44,520.45,573,434.84,594.18,545.78,478.96,433.82,459.78,441.31,538.72,504.33,504.66,484.44,483.42,459.42,458.88,443.17,440.4,435.1,429.35,423.17,531.11,434.97,442.9,603.1,593.87,592.06,586.22,583.09,574.27,572.13,562.01,561.18,549.42,545.39,538.83,535.89,533.72,528.05,521.59,518.2,481.13,477.73,473.69,469.95,463.06,459.41,452.59,484.17,538.19,440.92,469.99,468.5799999,512.92,437.51,570.90,456.66,473.70,524.31
13Jan1999,430.43,520.57,572.95,435.03,594.15,545.82,479.27,433.82,459.65,441.3,538.7,504.58,505.01,484.08,483.43,459.06,458.86,442.89,440.35,435.1,429.42,423.59,531.19,435.09,442.65,603.01,593.85,591.99,586.3,583.09,574.26,572.06,562.05,561.17,549.44,545.43,538.9,535.86,533.78,528.05,521.73,518.14,481.43,478.07,473.73,470.01,463,459.23,452.55,483.96,538.24,440.9,470.04,468.5300002,512.90,437.50,570.94,456.58,473.69,524.36
14Jan1999,430.44,520.78,572.89,435.04,594.07,545.76,479.42,433.67,459.75,441.3,538.8,504.56,504.76,484.38,483.55,458.91,458.81,442.39,440.35,435.2,429.21,424.45,531.16,435.13,442.41,602.98,593.78,591.92,586.21,583,574.25,571.9,562.06,561.19,549.4,545.38,539.01,535.79,533.9,527.99,521.93,518.24,481.76,478.15,473.68,470,463.05,459.35,452.39,484.12,538.3,440.89,470.05,468.5500001,512.97,437.52,570.89,456.56,473.68,524.32
15Jan1999,430.39,520.72,572.77,435.02,594.05,545.72,479.42,433.89,460.16,441.28,538.45,504.52,504.73,484.5,483.28,459.51,458.92,443.38,440.35,435.3,429.2,424.4,531.22,435.11,443,602.98,593.75,591.9,586.13,582.89,574.1,571.75,561.78,560.95,549.25,545.37,538.96,535.78,533.83,528,521.87,518.17,481.51,478.11,474.05,470.17,463.61,459.69,452.79,484.06,538.28,440.88,470.23,468.6599998,512.86,437.51,570.90,456.54,473.64,524.29
16Jan1999,430.41,520.75,572.71,434.96,593.95,545.53,479.1,434,460.08,441.34,538.58,504.8,505.05,484.43,483.47,459.01,458.83,443.08,440.35,435.25,429.1,424.33,531.25,435.07,442.32,602.92,593.65,591.85,586.06,582.84,574.06,571.75,561.6,560.84,548.84,545.05,538.81,535.7,533.67,528.03,521.89,518.23,481.33,477.62,473.88,470.09,463.51,459.59,452.8,484.17,538.17,440.86,470.14,468.71,512.76,,570.94,456.51,473.58,524.24
17Jan1999,430.48,520.62,572.63,434.94,593.96,545.6,479.34,434.12,460,441.33,538.73,504.9,504.64,484.62,483.31,459.51,458.93,443.58,440.45,435.3,429.1,424.45,531.05,435.02,442.99,602.93,593.64,591.83,586.01,582.79,573.96,571.71,561.47,560.79,548.48,545.2,538.64,535.73,533.35,527.93,521.72,518.18,481.45,478.04,473.77,470.21,463.38,459.56,452.58,484.22,538.04,440.85,470.25,468.7400002,512.68,,570.99,456.53,473.61,524.21
18Jan1999,430.68,520.63,572.61,434.93,594.01,545.61,479.05,434.15,459.98,441.52,538.49,504.88,504.81,484.79,483.33,459.28,458.93,443.54,440.3,435.2,429.25,424.42,531.11,435.06,443.38,602.94,593.68,591.84,586.06,582.77,574,571.55,561.67,560.88,548.17,545.16,538.65,535.74,533.31,527.9,521.75,518.24,481.04,477.69,473.69,470.18,463.35,459.52,452.64,484.26,538.05,440.84,470.19,468.7400002,512.56,,571.21,456.64,473.74,524.30
19Jan1999,430.4,520.62,572.63,434.88,594.03,545.43,479.04,434.4,459.82,441.65,538.8,504.54,504.66,485.46,483.32,459.54,458.89,444.33,440.45,435.3,428.95,424.7,530.92,435.02,443.97,602.94,593.69,591.85,586.08,582.77,573.98,571.7,561.74,561.15,548.06,544.94,538.53,535.68,533.17,527.91,521.72,518.18,481.24,477.63,473.6,470.11,463.17,459.35,452.56,484.56,537.95,440.82,470.15,468.3699998,512.69,,571.43,456.84,473.85,524.29
20Jan1999,430.64,520.58,572.56,434.92,594.12,545.54,478.81,434.46,459.93,441.89,538.71,504.66,504.99,484.38,483.35,458.93,458.89,444.15,440.45,435.1,429.2,424.7,530.93,435.04,443.83,602.97,593.72,591.85,586.09,582.76,573.92,571.65,561.71,561.08,548.04,545.09,538.55,535.69,533.12,527.86,521.68,518.23,480.87,477.38,473.52,470.12,463.17,459.48,452.4,483.96,537.99,440.81,470.14,468.8400001,512.78,,571.27,457.07,473.94,524.31
21Jan1999,430.32,520.65,572.64,435.07,594.19,545.61,479.48,434.67,459.79,441.96,538.78,505.25,504.85,484.21,483.51,459.09,458.88,443.8,440.45,435.5,429.1,424.55,531,435.22,443.36,602.99,593.82,591.94,586.2,582.77,573.98,571.84,561.53,560.97,547.74,545.23,538.39,535.76,532.87,527.84,521.72,518.22,481.35,478.35,473.26,470.04,462.82,459.42,452.15,483.48,537.87,440.8,470.06,468.73,513.02,,571.41,457.22,474.12,524.38
22Jan1999,430.25,520.96,572.72,435.04,594.42,545.84,480.07,433.93,460.73,442.25,538.75,506.54,504.8,488.48,483.47,459.4,458.99,444.75,440.7,435.8,427.9,427.63,531.24,435.32,444.47,603.01,594.1,592.04,586.55,582.87,574.12,571.9,561.6,561,548.07,545.37,538.68,535.81,533.27,527.98,522.03,518.39,482.28,478.46,474.78,470.39,465.79,459.79,453.48,482.98,538.12,440.85,470.52,470.8399996,513.84,,572.13,458.27,482.39,526.04
23Jan1999,431.94,521.67,572.98,437.34,594.5,545.81,480.77,435.73,461.99,443.73,538.95,505.46,504.72,490.3,483.16,461.81,458.85,449.9,439.8,439.8,430.25,430.25,531.74,437.99,448.85,603.03,594.16,592.11,586.81,583.05,574.47,572.13,561.75,561.15,548.14,545.2,538.6,535.86,533.88,528.14,522.89,518.3,483.53,478,476.76,470.17,467.78,459.55,456.91,487.64,538.23,440.42,470.54,473.44,514.74,,573.01,461.63,486.60,
24Jan1999,432.83,522.15,573.35,438.64,594.55,545.92,483.06,437.12,461.72,446.24,538.72,504.36,504.78,497.54,483.41,465.7,458.89,453.58,440,440,431.28,431.28,532.09,439.13,451.71,602.95,594.24,592.05,587.09,583.1,574.98,572.11,562.2,561.25,549.1,545.37,539,536.1,534.27,527.89,523.46,518.31,484.23,478.08,477.1,470.04,467.28,459.43,456.83,496.36,538.54,440.57,470.29,474.9,515.65,,574.79,464.76,487.54,
25Jan1999,433.52,522.99,573.17,439.19,594.43,545.92,482.86,437.81,461.56,447.91,538.9,504.6,504.81,496.46,483.29,466.52,458.89,455.3,440.8,440.8,431.6,431.6,532.58,439.72,453.45,602.93,594.15,591.98,587.05,583.13,574.85,571.89,561.98,560.98,549.24,544.94,539.43,536.11,534.89,527.7,524.52,518.26,484.33,478.39,477.3,470.44,467.05,459.67,456.35,493.02,538.89,441.5,470.73,474.0000004,515.79,,576.40,465.23,487.44,531.08
26Jan1999,434.22,523.02,573.02,440.94,594.4,545.63,482.55,438.73,461.27,448.36,538.99,506.08,504.84,495.33,483.25,466.04,458.68,455.25,443.4,443.4,432.37,432.37,531.95,441.76,453.81,602.91,594.07,591.91,586.89,583.05,574.63,571.75,561.97,561.07,549.2,544.69,539.52,536.05,534.45,527.79,524.51,518.21,484.14,477.81,476.87,470.07,466.83,459.2,456.29,492.08,538.94,444.47,470.35,472.7599997,515.87,,577.20,464.76,487.29,530.64
